model_id,target,feature,importance
XGBoost Gradient Boosted Trees,attack_success,num__Protocol_TCP,0.017825907
XGBoost Gradient Boosted Trees,attack_success,num__Packet Type,0.017788136
XGBoost Gradient Boosted Trees,attack_success,num__Timestamp_x_Source Port,0.017780239
XGBoost Gradient Boosted Trees,attack_success,num__Geo-location Data,0.017684814
XGBoost Gradient Boosted Trees,attack_success,num__Device/OS_iPhone,0.017457997
XGBoost Gradient Boosted Trees,attack_success,num__Protocol_UDP,0.01742754
XGBoost Gradient Boosted Trees,attack_success,num__Timestamp_div_Packet Length,0.017357951
XGBoost Gradient Boosted Trees,attack_success,num__Destination Port,0.017276717
XGBoost Gradient Boosted Trees,attack_success,num__Destination Port_div_Timestamp,0.017006528
XGBoost Gradient Boosted Trees,attack_success,num__Timestamp_div_Destination Port,0.016906215
XGBoost Gradient Boosted Trees,attack_success,num__Hour,0.016892163
XGBoost Gradient Boosted Trees,attack_success,num__Second,0.016890662
XGBoost Gradient Boosted Trees,attack_success,num__Browser,0.016665522
XGBoost Gradient Boosted Trees,attack_success,num__Device/OS_Linux,0.016659262
XGBoost Gradient Boosted Trees,attack_success,num__Alerts/Warnings,0.016650708
XGBoost Gradient Boosted Trees,attack_success,num__IDS/IPS Alerts,0.01660568
XGBoost Gradient Boosted Trees,attack_success,num__Attack Type_Malware,0.015953386
XGBoost Gradient Boosted Trees,attack_success,num__Device/OS_iPod,0.015843255
XGBoost Gradient Boosted Trees,attack_success,num__Log Source,0.01570775
XGBoost Gradient Boosted Trees,attack_success,num__Malware Indicators,0.015652098
XGBoost Gradient Boosted Trees,attack_success,cat__Source IP Address_type_private_a,0.015553208
XGBoost Gradient Boosted Trees,attack_success,num__Traffic Type_HTTP,0.015545871
XGBoost Gradient Boosted Trees,attack_success,num__Firewall Logs,0.015482264
XGBoost Gradient Boosted Trees,attack_success,num__Traffic Type_FTP,0.015099664
XGBoost Gradient Boosted Trees,attack_success,num__Device/OS_Macintosh,0.014624032
XGBoost Gradient Boosted Trees,attack_success,cat__Destination IP Address_type_private_a,0.014590075
XGBoost Gradient Boosted Trees,attack_success,num__Device/OS_Windows,0.01421032
XGBoost Gradient Boosted Trees,attack_success,cat__Destination IP Address_type_public,0.014100476
XGBoost Gradient Boosted Trees,attack_success,num__Severity Level_Low,0.013682471
XGBoost Gradient Boosted Trees,attack_success,num__Device/OS_iPad,0.013613626
XGBoost Gradient Boosted Trees,attack_success,num__Year,0.012650524
XGBoost Gradient Boosted Trees,attack_success,num__weekday,0.0123742055
XGBoost Gradient Boosted Trees,attack_success,num__hour,0.008051401
XGBoost Gradient Boosted Trees,attack_success,num__Source Port_is_http,0.0
XGBoost Gradient Boosted Trees,attack_success,num__month_cos,0.0
XGBoost Gradient Boosted Trees,attack_success,num__weekday_cos,0.0
XGBoost Gradient Boosted Trees,attack_success,num__hour_sin,0.0
XGBoost Gradient Boosted Trees,attack_success,num__day,0.0
XGBoost Gradient Boosted Trees,attack_success,num__month,0.0
XGBoost Gradient Boosted Trees,attack_success,num__year,0.0
XGBoost Gradient Boosted Trees,attack_success,num__month_sin,0.0
XGBoost Gradient Boosted Trees,attack_success,num__weekday_sin,0.0
XGBoost Gradient Boosted Trees,attack_success,num__hour_cos,0.0
XGBoost Gradient Boosted Trees,attack_success,num__quarter,0.0
XGBoost Gradient Boosted Trees,attack_success,num__Source Port_is_https,0.0
XGBoost Gradient Boosted Trees,attack_success,num__Destination Port_is_email,0.0
XGBoost Gradient Boosted Trees,attack_success,num__Destination Port_is_ssh,0.0
XGBoost Gradient Boosted Trees,attack_success,num__Destination Port_is_database,0.0
XGBoost Gradient Boosted Trees,attack_success,num__Source Port_is_email,0.0
XGBoost Gradient Boosted Trees,attack_success,num__Source Port_is_database,0.0
XGBoost Gradient Boosted Trees,attack_success,num__Destination Port_is_http,0.0
XGBoost Gradient Boosted Trees,attack_success,num__Destination Port_is_https,0.0
XGBoost Gradient Boosted Trees,attack_success,num__Destination Port_is_ftp,0.0
XGBoost Gradient Boosted Trees,attack_success,num__Source Port_is_ftp,0.0
XGBoost Gradient Boosted Trees,attack_success,num__Source Port_is_ssh,0.0
XGBoost Gradient Boosted Trees,attack_success,cat__Source IP Address_type_public,0.0
XGBoost Gradient Boosted Trees,attack_success,cat__Source IP Address_type_private_b,0.0
XGBoost Gradient Boosted Trees,attack_success,cat__Destination IP Address_type_private_b,0.0
XGBoost Gradient Boosted Trees,attack_success,cat__IDS/IPS Alerts_type_unknown,0.0
XGBoost Gradient Boosted Trees,attack_success,cat__Source Port_category_well_known,0.0
XGBoost Gradient Boosted Trees,attack_success,cat__Destination Port_category_well_known,0.0
